部分,考试类型,问题类型,问答对,三元组
中考中招,中考中招,考试篇,问：往届初中毕业生、结业生或外省市初中毕业生需要参加的初中学业水平考试科目有哪些？信息科技、地理、生命科学、科学科目需要考吗？答：往届初中毕业生、结业生或外省市初中毕业生需要参加语文、数学、外语、外语听说测试、综合测试（物理、化学、跨学科案例分析）、物理化学实验操作、道德和法治（统一考试）、历史（统一考试）、体育与健身（统一考试）。   往届初中毕业生、结业生或外省市初中毕业生不需要参加信息科技、地理、生命科学、科学科目考试。,"['（往届初中毕业生，需要参加，语文）', '（往届初中毕业生，需要参加，数学）', '（往届初中毕业生，需要参加，外语）', '（往届初中毕业生，需要参加，外语听说测试）', '（往届初中毕业生，需要参加，综合测试）', '（往届初中毕业生，需要参加，物理化学实验操作）', '（往届初中毕业生，需要参加，道德和法治）', '（往届初中毕业生，需要参加，历史）', '（往届初中毕业生，需要参加，体育与健身）', '（结业生，需要参加，语文）', '（结业生，需要参加，数学）', '（结业生，需要参加，外语）', '（结业生，需要参加，外语听说测试）', '（结业生，需要参加，综合测试）', '（结业生，需要参加，物理化学实验操作）', '（结业生，需要参加，道德和法治）', '（结业生，需要参加，历史）', '（结业生，需要参加，体育与健身）', '（外省市初中毕业生，需要参加，语文）', '（外省市初中毕业生，需要参加，数学）', '（外省市初中毕业生，需要参加，外语）', '（外省市初中毕业生，需要参加，外语听说测试）', '（外省市初中毕业生，需要参加，综合测试）', '（外省市初中毕业生，需要参加，物理化学实验操作）', '（外省市初中毕业生，需要参加，道德和法治）', '（外省市初中毕业生，需要参加，历史）', '（外省市初中毕业生，需要参加，体育与健身）', '（综合测试，包含，物理）', '（综合测试，包含，化学）', '（综合测试，包含，跨学科案例分析）', '（往届初中毕业生，不需要参加，信息科技）', '（往届初中毕业生，不需要参加，地理）', '（往届初中毕业生，不需要参加，生命科学）', '（往届初中毕业生，不需要参加，科学）', '（结业生，不需要参加，信息科技）', '（结业生，不需要参加，地理）', '（结业生，不需要参加，生命科学）', '（结业生，不需要参加，科学）', '（外省市初中毕业生，不需要参加，信息科技）', '（外省市初中毕业生，不需要参加，地理）', '（外省市初中毕业生，不需要参加，生命科学）', '（外省市初中毕业生，不需要参加，科学）']"
中考中招,中考中招,考试篇,问：往届初中毕业生、结业生或外省市初中毕业生体育和健身科目如何参加统一考试？体育和健身科目日常考核如何赋分？ 答：往届初中毕业生、结业生或外省市初中毕业生体育和健身科目统一考试由报名所在区招考机构安排，体育和健身科目日常考核赋分办法请向报名所在区招考机构咨询。,"['（往届初中毕业生，参加，统一考试）', '（结业生，参加，统一考试）', '（外省市初中毕业生，参加，统一考试）', '（统一考试，安排机构，报名所在区招考机构）', '（日常考核，赋分办法咨询，报名所在区招考机构）', '（体育和健身科目，包含，统一考试）', '（体育和健身科目，包含，日常考核）']"
中考中招,中考中招,考试篇,问：往届初中毕业生、结业生或外省市初中毕业生道德与法治、历史2门科目的日常考核如何赋分？答：往届初中毕业生、结业生或外省市初中毕业生道德与法治、历史2门科目的日常考核赋分办法请向报名所在区招考机构咨询。,"['（往届初中毕业生，咨询，报名所在区招考机构）', '（结业生，咨询，报名所在区招考机构）', '（外省市初中毕业生，咨询，报名所在区招考机构）', '（道德与法治，具有考核方式，日常考核）', '（历史，具有考核方式，日常考核）']"
中考中招,中考中招,考试篇,问：初中学业水平考试时间？答：考试常规安排在每年6月中旬进行。具体时间以发布的实施细则文件为准。,"['（初中学业水平考试，有，考试时间）', '（考试时间，常规安排在，每年6月中旬）', '（考试时间，依据，实施细则文件）']"
中考中招,中考中招,考试篇,问：考试中有哪些考场规则和注意事项？答：考生可在“上海招考热线”网站查看考场规则，“上海招考热线”网站（www.shmeea.edu.cn）首页—中招中考—考试规定栏目发布的“20X年上海市初中学业水平考试即将举行”附件《上海市初中学业水平考试考场规则》《上海市初中学业水平考试考生答题注意事项》和《上海市初中学业水平考试外语听力注意事项》。请所有考生务必在考前仔细阅读上述考场规则与注意事项，避免在考试期间出现违规行为。,"['（上海招考热线，官网，www.shmeea.edu.cn）', '（上海招考热线，发布，上海市初中学业水平考试考场规则）', '（上海招考热线，发布，上海市初中学业水平考试考生答题注意事项）', '（上海招考热线，发布，上海市初中学业水平考试外语听力注意事项）']"
中考中招,中考中招,考试篇,问：考生如果考试迟到了，最晚什么时候可以进入考场？答：笔试科目开考15分钟后，迟到考生不得进入考点，记为缺考，不再安排考试。,"['（笔试科目，开考时间限制，开考15分钟后）', '（迟到考生，无法进入，考点）', '（迟到考生，记为，缺考）', '（迟到考生，不再安排，安排考试）']"
中考中招,中考中招,考试篇,问：跨区报考的应届生在哪里参加上海市初中学业水平考试？答：跨区报考的应届生在初中就读区参加上海市初中学业水平考试。,"['（跨区报考的应届生，参加，上海市初中学业水平考试）', '（跨区报考的应届生，考试地点，初中就读区）', '（上海市初中学业水平考试，属于，中考中招）']"
中考中招,中考中招,考试篇,问：参加初中学业水平考试需要携带身份证吗？答：初中学业水平考试没有要求考生携带身份证。如已有身份证可选择携带。,"['（考生，参加，初中学业水平考试）', '（初中学业水平考试，不要求携带，身份证）', '（考生，可选择携带，身份证）']"
中考中招,中考中招,考试篇,问：初中学业水平考试数学考试可以携带计算器吗？答：不可以。,"['（数学考试，属于，初中学业水平考试）', '（数学考试，禁止携带，计算器）']"
中考中招,中考中招,考试篇,问：道德与法治（统一笔试）属于开卷考，可以携带哪些材料？答：道德与法治科目实行开卷考试，允许考生携带《义务教育教科书(五·四学制)道德与法治》(六-九年级)教材内容，每册教科书仅允许携带一本，教科书中不得夹带或粘贴任何材料。,"['（道德与法治（统一笔试），属于，开卷考）', '（道德与法治（统一笔试），允许携带，《义务教育教科书(五·四学制)道德与法治》）', '（《义务教育教科书(五·四学制)道德与法治》，涵盖年级，六-九年级）']"
中考中招,中考中招,考试篇,问：历史（统一笔试）属于开卷考，可以携带哪些材料？答：历史科目实行开卷考试，允许考生携带《义务教育教科书(五·四学制)中国历史》第一、二、三、四册和《义务教育教科书(五·四学制)世界历史》第一、二册参加考试， 每册教科书仅允许携带一本，教科书中不得夹带或粘贴任何材料，不能携带地图册和练习册。,"['（历史（统一笔试），属于，开卷考）', '（开卷考，允许携带，义务教育教科书(五·四学制)中国历史）', '（开卷考，允许携带，义务教育教科书(五·四学制)世界历史）', '（开卷考，禁止携带，地图册）', '（开卷考，禁止携带，练习册）']"
中考中招,中考中招,考试篇,问：考试现场没有钟表，考生可以自己带手表进入考场吗？答：见秋考93问。,"['（中考中招，包含，考试篇）', '（考试现场，没有，钟表）', '（考生，携带，手表）', '（手表，进入，考场）', '（考试篇，回答参考，秋考93问）']"
中考中招,中考中招,考试篇,问：申请合理便利的残疾考生所携带的助听器、人工耳蜗、拐杖、轮椅等可正常通过安检吗？答：见秋考94问。,"['（考试篇，属于，中考中招）', '（残疾考生，申请，合理便利）', '（合理便利，属于，考试篇）', '（残疾考生，携带，助听器）', '（残疾考生，携带，人工耳蜗）', '（残疾考生，携带，拐杖）', '（残疾考生，携带，轮椅）', '（秋考94问，属于，考试篇）', '（合理便利，相关答案，秋考94问）', '（安检，相关答案，秋考94问）']"
中考中招,中考中招,考试篇,问：考生有低血糖或听力障碍，腿脚不便等问题，该如何申请绿色通道？答：见秋考95问。,"['（考生，有，低血糖）', '（考生，有，听力障碍）', '（考生，有，腿脚不便）', '（考生，申请，绿色通道）', '（绿色通道，参见，秋考95问）', '（考试篇，属于，中考中招）']"
中考中招,中考中招,考试篇,问：参与中招的初中学业水平考试成绩什么时候可以查询？答：考生可查看教育考试院发布“上海招考热线”网站（www.shmeea.edu.cn）首页—中招中考—考试规定栏目发布的“20XX年上海市初中学业水平考试成绩将于X日公布”消息为准。成绩公布时间约在每年7月。,"['（中招中考，包含，初中学业水平考试）', '（初中学业水平考试，成绩公布时间，每年7月）', '（教育考试院，运营，上海招考热线）', '（上海招考热线，包含，考试规定栏目）']"
中考中招,中考中招,考试篇,问：查询成绩方法？答：考生需使用初中学业水平考试准考证上12位数报名号和密码（考生本人身份证最后不含字母的6位数字）查询成绩。,"['（初中学业水平考试准考证，包含，12位数报名号）', '（密码，由，最后不含字母的6位数字）', '（最后不含字母的6位数字，属于，考生本人身份证）', '（查询成绩，需要，12位数报名号）', '（查询成绩，需要，密码）']"
中考中招,中考中招,考试篇,问：考生来电询问其查询中招成绩只能看到语数外的成绩，其他科目成绩只显示合格是怎么回事？答：获得本市中招报名资格的考生，其所有计分科目成绩以分数形式呈现。未获得本市中招报名资格的考生，除语文、数学、外语三科成绩以分数形式呈现外，其他科目以等第形式（合格、不合格）呈现。,[]
中考中招,中考中招,考试篇,问：成绩通知单如何下发？答：初中学业水平考试成绩通知单由上海市教育考试院统一制作。在校生的成绩通知单由各区或考生所在学校发放；非在校生的成绩通知单由各区招生考试机构负责发放。,[]
中考中招,中考中招,考试篇,问：成绩单没有收到怎么办？答：请应届初三学生联系学校，由学校核实成绩单的情况；非在校生请联系各区招生考试机构。,"['（应届初三学生，联系，学校）', '（非在校生，联系，各区招生考试机构）', '（学校，核实，成绩单）']"
中考中招,中考中招,考试篇,问：网上评卷是如何进行的？答：网上评卷前，由高速扫描仪将考生书写的答卷电子图像存入计算机。其中，选择题由计算机根据考生的填涂自动判分，直接给出得分；非选择题按题块切割成一张张图片。评卷时，计算机将分块的答题图片随机发送到评卷教师的电脑屏幕上，一切过程都在计算机网络系统上进行。每一题均由两位教师背对背评阅，两位教师的评分误差在规定范围内，即取平均值，若超出规定范围，则计算机再将试题发送给第三位教师评阅，以此类推，直至误差控制在设定范围内。网上评卷提高了评卷质量，使评分更加公平、公正。网上评卷使答卷的保管、传送、登分、加分等步骤一并在计算机网络上进行，做到安全可靠。,"['（网上评卷，使用，高速扫描仪）', '（网上评卷，存入，答卷电子图像）', '（答卷电子图像，存入，计算机）', '（选择题，判分，计算机）', '（非选择题，切割成，题块）', '（题块，切割成，图片）', '（计算机，发送，图片）', '（图片，发送到，评卷教师）', '（评卷教师，评阅，试题）', '（评分误差，超出，设定范围）', '（第三位教师，评阅，试题）', '（网上评卷，提高，评卷质量）', '（评卷质量，使，公平）', '（评卷质量，使，公正）', '（网上评卷，进行，保管）', '（网上评卷，进行，传送）', '（网上评卷，进行，登分）', '（网上评卷，进行，加分）', '（网上评卷，做到，安全可靠）']"
中考中招,中考中招,志愿篇,问：往届初中毕业生、结业生或外省市初中毕业生可以填报的中招志愿和本市应届初三毕业生一样吗？答：符合中招报名资格的往届初中毕业生、结业生或外省市初中毕业生不能填报名额分配到校志愿，此外，非上海户籍学生不能填报中本贯通志愿。,"['（往届初中毕业生，不能填报，名额分配到校志愿）', '（结业生，不能填报，名额分配到校志愿）', '（外省市初中毕业生，不能填报，名额分配到校志愿）', '（非上海户籍学生，不能填报，中本贯通志愿）']"
中考中招,中考中招,志愿篇,问：往届初中毕业生、结业生或外省市初中毕业生综评40分如何赋分？相关问题向哪个机构咨询？答：请向报名所在区教育行政部门或招考机构咨询。,"['（往届初中毕业生，涉及，综评40分）', '（结业生，涉及，综评40分）', '（外省市初中毕业生，涉及，综评40分）', '（综评40分，需要，赋分）', '（相关问题，咨询，报名所在区教育行政部门）', '（相关问题，咨询，招考机构）']"
中考中招,中考中招,志愿篇,问：中招分成几个招生批次？答：本市中招录取分三个批次进行，依次为：自主招生录取、名额分配综合评价录取、统一招生录取。,[]
中考中招,中考中招,志愿篇,问：高中阶段学校志愿填报在什么时候进行？答：本市高中阶段学校招生志愿填报统一在初中学业水平考试后、成绩发布前进行。（注：以上为2023年中招相关规定）,"['（志愿篇，属于，中考中招）', '（志愿填报，针对，高中阶段学校）', '（志愿填报，时间在之后，初中学业水平考试）', '（志愿填报，时间在之前，成绩发布）', '（中考中招，年份，2023年）']"
中考中招,中考中招,志愿篇,问：志愿填报集中时间有几次？答：有两次。第一次是自主招生录取志愿填报（含中职校招收随迁子女志愿填报）；第二次是名额分配综合评价录取和统一招生录取志愿填报。（注：以上为2023年中招相关规定）,"['（志愿篇，属于，中考中招）', '（自主招生录取志愿填报，包含，中职校招收随迁子女志愿填报）', '（志愿填报集中时间，包含，自主招生录取志愿填报）', '（志愿填报集中时间，包含，名额分配综合评价录取）', '（志愿填报集中时间，包含，统一招生录取志愿填报）', '（志愿篇，依据，2023年中招相关规定）']"
中考中招,中考中招,志愿篇,问：两次的志愿填报时间以及确认时间？答：可查看“上海招考热线”网站（www.shmeea.edu.cn）首页—中招中考—志愿填报栏目发布的“20XX年上海市高中阶段学校招生录取志愿填报即将开始”“20XX年上海市高中学校自主招生录取志愿填报即将开始”“20XX年上海市中等职业学校自主招生志愿填报即将开始”“20XX年上海市中职校招收随迁子女志愿填报即将开始”等公告。注：2023年自主招生录取志愿填报时间在7月2日10:00至7月3日15:00 ，确认时间是在7月4日。2023年名额分配综合评价录取和统一招生录取志愿填报时间在6月21日-24日（每天9:00-22:00）、6月25日9:00-15:00，确认时间是在6月26日至6月27日。注：以上为2023年中招填报志愿时间，具体政策以当年度发布的实施细则文件为准。,"['（上海招考热线，发布公告，20XX年上海市高中阶段学校招生录取志愿填报即将开始）', '（自主招生录取志愿填报时间，对应年份，2023年）', '（名额分配综合评价录取，关联时间段，6月21日-24日）', '（统一招生录取志愿填报时间，包含日期段，6月25日9:00-15:00）', '（2023年中招填报志愿时间，依据文件，当年度发布的实施细则文件）']"
中考中招,中考中招,志愿篇,问：跨区报名的应届初三学生如何填报志愿？答：跨区报名的应届初三学生可通过“上海招考热线”网站填报各批次录取志愿。跨区学生完成网上志愿填报后，在学籍所在学校学生本人及家长（监护人）进行志愿书面确认。,"['（跨区报名的应届初三学生，填报，志愿）', '（跨区报名的应届初三学生，通过，上海招考热线）', '（跨区报名的应届初三学生，填报，各批次录取志愿）', '（跨区报名的应届初三学生，归属学籍，学籍所在学校）', '（学生本人，进行确认，志愿书面确认）', '（家长（监护人），进行确认，志愿书面确认）']"
中考中招,中考中招,志愿篇,问：本市户籍的往届生、返沪生如何填报志愿？答：可通过“上海招考热线”网站填报各批次志愿，在报名区招考机构学生本人及家长（监护人）进行志愿书面确认。,[]
中考中招,中考中招,志愿篇,问：自主招生录取志愿有哪些？答：自主招生录取志愿包括：市实验性示范性高中、市特色普通高中自主招生录取志愿，市级优秀体育学生、艺术骨干学生自主招生录取志愿，国际课程班和中外合作办学高中自主招生录取志愿以及中职校自主招生录取志愿。,"['（自主招生录取志愿，包括，市实验性示范性高中）', '（自主招生录取志愿，包括，市特色普通高中）', '（自主招生录取志愿，包括，市级优秀体育学生）', '（自主招生录取志愿，包括，艺术骨干学生）', '（自主招生录取志愿，包括，国际课程班）', '（自主招生录取志愿，包括，中外合作办学高中）', '（自主招生录取志愿，包括，中职校）']"
中考中招,中考中招,志愿篇,问：中职校自主招生有哪些类别？答：中本教育贯通培养模式（简称“中本贯通”）、五年一贯制培养模式（简称“五年一贯制”）和中高职教育贯通培养模式（简称“中高职贯通”）、中职校提前招生（需面试或测试的专业）。,"['（中职校自主招生，包含，中本教育贯通培养模式）', '（中职校自主招生，包含，五年一贯制培养模式）', '（中职校自主招生，包含，中高职教育贯通培养模式）', '（中职校自主招生，包含，中职校提前招生）', '（中本教育贯通培养模式，简称，中本贯通）', '（五年一贯制培养模式，简称，五年一贯制）', '（中高职教育贯通培养模式，简称，中高职贯通）', '（中职校提前招生，需要，面试或测试的专业）']"
中考中招,中考中招,志愿篇,问：名额分配综合评价录取志愿有哪些？答：名额分配综合评价录取志愿分为“名额分配到区”和“名额分配到校”两个类别，可兼报。,"['（名额分配综合评价录取志愿，分为，名额分配到区）', '（名额分配综合评价录取志愿，分为，名额分配到校）', '（名额分配到区，可兼报，名额分配到校）']"
中考中招,中考中招,志愿篇,问：统一招生录取志愿有哪些？答：统一招生录取志愿包括“1至15志愿”和征求志愿。通过相关资格确认的区级优秀体育学生、艺术骨干学生可在“区级优秀体育学生、艺术骨干学生”志愿栏内填报1个志愿，录取规则由各区教育行政部门自行制定。,"['（统一招生录取志愿，包括，1至15志愿）', '（统一招生录取志愿，包括，征求志愿）', '（区级优秀体育学生', '艺术骨干学生，可在，区级优秀体育学生', '艺术骨干学生志愿栏）', '（各区教育行政部门，制定，录取规则）']"
中考中招,中考中招,志愿篇,问：各招生批次可以填报多少个志愿？答：市实验性示范性高中、市特色普通高中自主招生可合计填报2个志愿，志愿不分先后；市级优秀体育学生、艺术骨干学生自主招生可合计填报2个志愿，志愿不分先后。填报该志愿的学生须是通过相关资格确认的市级优秀体育学生或艺术骨干学生，同时具备两类资格的学生可兼报；国际课程班和中外合作办学高中自主招生需在意向院校指定的网站上填报信息（已完成本市中招报名的预录取学生须根据招生学校要求在规定时间内进行预录取签约）；中本贯通可以填报2个平行志愿；五年一贯制和中高职贯通合计可以填报3个平行志愿；中职校提前招生可以填报4个平行志愿；名额分配到区招生可填报1个志愿；名额分配到校招生可填报2个平行志愿；区级优秀体育学生、艺术骨干学生招生合计可填报1个志愿；统一录取招生可填报15个平行志愿；征求志愿由各区招考机构负责；特殊教育高中阶段学校招生可填报1所市级学校、1所区级学校。,[]
中考中招,中考中招,志愿篇,问：什么是平行志愿？平行志愿投档录取原则是怎样的？答：平行志愿按照“分数优先，遵循志愿，一轮投档”的原则投档。分数优先指高分学生比低分学生排序在前，优先检索。遵循志愿指排序后，依照学生的志愿顺序依次检索，只要在学生的志愿中检索到符合投档条件的学校，即向该学校投档录取。一旦投档，学生之后的志愿自然失效。,"['（平行志愿，具有原则，分数优先）', '（平行志愿，具有原则，遵循志愿）', '（平行志愿，具有原则，一轮投档）', '（高分学生，排序优先于，低分学生）', '（遵循志愿，涉及，志愿）', '（志愿，关联，学校）']"
中考中招,中考中招,志愿篇,"问：填报志愿时,是否需要填满全部志愿？答：考生应根据自己的学业成绩、综合素质、身体条件、家庭经济状况，了解招生学校的类别、收费、住宿、交通、学制以及招生学校的一些特殊要求，结合自己的理想选填志愿，实现理想与能力的结合。填报志愿时，考生可以全部填写或部分填写。","['（考生，考虑，学业成绩）', '（考生，考虑，综合素质）', '（考生，考虑，身体条件）', '（考生，考虑，家庭经济状况）', '（考生，了解，类别）', '（考生，了解，收费）', '（考生，了解，住宿）', '（考生，了解，交通）', '（考生，了解，学制）', '（考生，了解，特殊要求）', '（招生学校，具有，类别）', '（招生学校，具有，收费）', '（招生学校，具有，住宿）', '（招生学校，具有，交通）', '（招生学校，具有，学制）', '（招生学校，具有，特殊要求）', '（考生，结合，理想）', '（考生，选填，志愿）', '（志愿，实现，理想）']"
中考中招,中考中招,志愿篇,问：怎么确定志愿填报是否完成？答：确认提交后，请清空浏览器缓存，关闭浏览器。然后重新打开网站进入志愿填报页面，确认上面已有的信息和之前填报的志愿（或导出的PDF内的信息）一致，则表示填报完成。,"['（中考中招-中考中招-志愿篇，包含主题，志愿填报）', '（志愿填报，包含步骤，确认提交）', '（确认提交，需清空，浏览器缓存）', '（确认提交，需关闭，浏览器）', '（确认提交，需重新打开，网站）', '（网站，包含，志愿填报页面）', '（志愿填报页面，显示，信息）', '（PDF，包含，信息）', '（信息，需核对，PDF）']"
中考中招,中考中招,志愿篇,问：已填报的志愿可以更改吗？答：考生在网上志愿填报的规定时间内可修改填报信息，如若修改，以最后一次提交修改的志愿信息为准。志愿填报提交截止时间后，任何人不得修改或补报志愿。学生本人及家长（监护人）须在志愿确认表上完成签字确认，其网上填报的志愿方可生效。本市应届初三学生在学籍学校进行签字确认，往届生、返沪生在报名所在区招考机构进行签字确认，签字确认时不可更改任何志愿信息。,"['（考生，进行，网上志愿填报）', '（网上志愿填报，包含，填报信息）', '（考生，修改，填报信息）', '（学生本人，完成，签字确认）', '（家长（监护人），完成，签字确认）', '（签字确认，需要，志愿确认表）', '（本市应届初三学生，在，学籍学校）', '（往届生，在，报名所在区招考机构）', '（返沪生，在，报名所在区招考机构）']"
中考中招,中考中招,志愿篇,问：已填报的志愿可以撤销吗？答：不可以。市、区招考机构不受理以任何理由提出的更改志愿、顺延志愿、放弃志愿和补填志愿等申请。,"['（市招考机构，不受理，更改志愿）', '（市招考机构，不受理，顺延志愿）', '（市招考机构，不受理，放弃志愿）', '（市招考机构，不受理，补填志愿）', '（区招考机构，不受理，更改志愿）', '（区招考机构，不受理，顺延志愿）', '（区招考机构，不受理，放弃志愿）', '（区招考机构，不受理，补填志愿）']"
中考中招,中考中招,志愿篇,问：已经查询到被志愿学校录取后是否可以放弃录取结果参加其他批次的志愿吗？答：不可以。考生被志愿学校录取后，不得放弃录取结果。也不再参与后续批次的录取工作。,"['（考生，被录取，志愿学校）', '（考生，不得放弃，录取结果）', '（考生，不参与，后续批次）', '（后续批次，包含，录取工作）']"
中考中招,中考中招,志愿篇,问：各招生类别的最低投档控制分数线是如何划定的？答：根据参加招生录取学生学业考试总成绩分布，各招生类别的计划数和学生志愿等情况，划定各招生类别在投档中的最低控制分数线。学业考试总成绩未达到相应类别最低投档控制分数线的学生，不能参加该招生类别的投档。最低投档控制分数线只是学校录取的“底线”，从历年的实际录取结果来看，大多数学校的实际录取分数线要比最低投档控制分数线高。,"['（问答对，属于，志愿篇）', '（志愿篇，属于，中考中招）', '（最低投档控制分数线，根据，学业考试总成绩）', '（最低投档控制分数线，根据，学生志愿）', '（最低投档控制分数线，根据，计划数）', '（学校录取，底线，最低投档控制分数线）', '（实际录取分数线，高于，最低投档控制分数线）', '（各招生类别，拥有，最低投档控制分数线）']"
中考中招,中考中招,志愿篇,问：中招各批次控制分数线是多少？答：考生可查看“上海招考热线”网站（www.shmeea.edu.cn）“首页—中招中考—招生录取”栏目发布的“20XX年上海市高中阶段学校招生最低投档控制分数线确定”。注：以下图表为2023年上海市高中阶段学校各类别招生最低投档控制分数线。,"['（上海招考热线，拥有，www.shmeea.edu.cn）', '（上海招考热线，包含，首页—中招中考—招生录取栏目）', '（首页—中招中考—招生录取栏目，发布，20XX年上海市高中阶段学校招生最低投档控制分数线确定）', '（2023年上海市高中阶段学校各类别招生最低投档控制分数线，属于，20XX年上海市高中阶段学校招生最低投档控制分数线确定）', '（中招各批次控制分数线，属于，中考中招-志愿篇）']"
中考中招,中考中招,志愿篇,问：民办高中的最低投档控制分数线怎么查询？答：考生可查看“上海招考热线”网站（www.shmeea.edu.cn）“首页—中招中考—招生录取”栏目发布的“2023年上海市民办高中最低投档控制分数线”。注：2023年民办高中最低投档分数线https://www.shmeea.edu.cn/download/20230726/01.pdf。,"['（上海招考热线，拥有网址，www.shmeea.edu.cn）', '（上海招考热线，包含栏目，首页—中招中考—招生录取）', '（首页—中招中考—招生录取，发布，2023年上海市民办高中最低投档控制分数线）', '（2023年上海市民办高中最低投档控制分数线，下载链接，https://www.shmeea.edu.cn/download/20230726/01.pdf）', '（民办高中，最低投档控制分数线，2023年上海市民办高中最低投档控制分数线）']"
中考中招,中考中招,志愿篇,问：中招各批次的录取顺序？答：录取顺序依次为：市实验性示范性高中、市特色普通高中自主招生录取；市级优秀体育学生、艺术骨干学生自主招生录取；国际课程班和中外合作办学高中自主招生录取；中本贯通招生录取；五年一贯制和中高职贯通招生录取；中职校提前招生录取；名额分配到区招生录取；名额分配到校招生录取；区级优秀体育学生、艺术骨干学生招生录取；统一招生录取；征求志愿、民办高中国际课程班补录。,"['（市实验性示范性高中', '市特色普通高中自主招生录取，录取顺序早于，市级优秀体育学生', '艺术骨干学生自主招生录取）', '（市级优秀体育学生', '艺术骨干学生自主招生录取，录取顺序早于，国际课程班和中外合作办学高中自主招生录取）', '（国际课程班和中外合作办学高中自主招生录取，录取顺序早于，中本贯通招生录取）', '（中本贯通招生录取，录取顺序早于，五年一贯制和中高职贯通招生录取）', '（五年一贯制和中高职贯通招生录取，录取顺序早于，中职校提前招生录取）', '（中职校提前招生录取，录取顺序早于，名额分配到区招生录取）', '（名额分配到区招生录取，录取顺序早于，名额分配到校招生录取）', '（名额分配到校招生录取，录取顺序早于，区级优秀体育学生', '艺术骨干学生招生录取）', '（区级优秀体育学生', '艺术骨干学生招生录取，录取顺序早于，统一招生录取）', '（统一招生录取，录取顺序早于，征求志愿', '民办高中国际课程班补录）']"
中考中招,中考中招,志愿篇,问：什么是市实验性示范性高中？答：市实验性示范性高中分为委属市实验性示范性高中和区属市实验性示范性高中。委属市实验性示范性高中是指由上海市教育委员会直接或共同管理的市实验性示范性高中学校，其中继续试点“探索建立拔尖创新人才培养基地”项目的高中学校为：上海中学、华东师范大学第二附属中学、复旦大学附属中学、上海交通大学附属中学。区属市实验性示范性高中是指由区教育局管理的市实验性示范性高中学校。,[]
中考中招,中考中招,志愿篇,问：在哪查看所有的市实验性示范性高中？答：考生可查看“上海招考热线”网站（www.shmeea.edu.cn）“首页—中招中考—招生公示”栏目发布的“20XX年上海市高中招生学校名单”,"['（上海招考热线，具有，www.shmeea.edu.cn）', '（上海招考热线，包含，首页—中招中考—招生公示）', '（首页—中招中考—招生公示，发布，20XX年上海市高中招生学校名单）', '（20XX年上海市高中招生学校名单，包含，市实验性示范性高中）', '（考生，查看，20XX年上海市高中招生学校名单）']"
中考中招,中考中招,志愿篇,问：什么是市特色普通高中？答：上海市特色普通高中是指能主动适应上海城市功能定位、社会和地域经济发展以及学生发展的需求，有惠及全体学生、较为成熟的特色课程体系及实施体系，并以此为基础形成稳定独特办学风格的普通高中学校（含完中、十二年一贯制、十五年一贯制学校的高中部）。,"['（上海市特色普通高中，适应，上海城市功能定位）', '（上海市特色普通高中，适应，社会和地域经济发展）', '（上海市特色普通高中，适应，学生发展需求）', '（上海市特色普通高中，有，特色课程体系）', '（上海市特色普通高中，有，实施体系）', '（上海市特色普通高中，形成，办学风格）', '（上海市特色普通高中，包括，完中）', '（上海市特色普通高中，包括，十二年一贯制学校的高中部）', '（上海市特色普通高中，包括，十五年一贯制学校的高中部）']"
中考中招,中考中招,志愿篇,问：在哪查看所有的市特色普通高中？答：考生可查看“上海招考热线”网站（www.shmeea.edu.cn）“首页—中招中考—招生公示”栏目发布的“20XX年上海市高中招生学校名单”,[]
中考中招,中考中招,志愿篇,问：跨区报名的学生在哪里进行自主招生录取志愿的书面确认？答：跨区报名的学生在“上海招考热线”网站上完成自主招生录取志愿填报后，在学籍所在学校进行志愿书面确认。,"['（跨区报名的学生，填报，自主招生录取志愿）', '（自主招生录取志愿，通过平台，上海招考热线网站）', '（跨区报名的学生，进行确认，学籍所在学校）', '（自主招生录取志愿，需完成确认，志愿书面确认）']"
